year,district,constituency,link
1956,MURSHIDABAD,JALANGI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/MURSHIDABAD/JALANGI/1956---37-JALANGI%20A.C(MURSHIDABAD)-(900).pdf
1956,MURSHIDABAD,JANGIPUR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/MURSHIDABAD/JANGIPUR/1956---32-JANGIPUR%20A.C(MURSHIDABAD)-(1612)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/MURSHIDABAD/JANGIPUR/1956---32-JANGIPUR%20A.C(MURSHIDABAD)-(1612)-PART-2.pdf"
1956,MURSHIDABAD,LALGOLA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/MURSHIDABAD/LALGOLA/1956---34-LALGOLA%20A.C%20(MURSHIDABAD)-(810).pdf
1956,MURSHIDABAD,MUSHIDABAD,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/MURSHIDABAD/MUSHIDABAD/1956---33-MUSHIDABAD%20A.C(MUSHIDABAD)-(1013).pdf
1956,MURSHIDABAD,NAODA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/MURSHIDABAD/NAODA/1956---40-NAODA%20%20A.C%20(MURSIDABAD)-(892).pdf
1956,MURSHIDABAD,RANINAGAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/MURSHIDABAD/RANINAGAR/1956---36-RANINAGAR%20A.C(MURSHIDABAD)-(817).pdf
1956,MURSHIDABAD,SUTI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/MURSHIDABAD/SUTI/1956---31-SUTI%20A.C(MURSHIDABAD)-(953).pdf
1956,NADIA,CHAKDAH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/CHAKDAH/1956---187-CHAKDAH%20A.C(NADIA)-(954).pdf
1956,NADIA,HARINGHATA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/HARINGHATA/1956---HARINGHATA%20A.C(NADIA)-(2140)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/HARINGHATA/1956---HARINGHATA%20A.C(NADIA)-(2140)-PART-2.pdf"
1956,NADIA,KARIMPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/KARIMPUR/1956---KARIMPUR%20A.C(NADIA)-(888).pdf
1956,NADIA,KRISHNAGAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/KRISHNAGAR/1956---192-KRISHNAGAR%20A.C(NADIA)-(712).pdf
1956,NADIA,NAKASHIPARA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/NAKASHIPARA/1956---NAKASHIPARA%20A.C(NADIA)-(1709)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/NAKASHIPARA/1956---NAKASHIPARA%20A.C(NADIA)-(1709)-PART-2.pdf"
1956,NADIA,NAWADWIP,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/NAWADWIP/1956---191-NAWADWIP%20A.C(NADIA)-(893).pdf
1956,NADIA,RANAGHAT,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/RANAGHAT/1956---RANAGHAT%20A.C(NADIA)-(825).pdf
1956,NADIA,SANTIPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/SANTIPUR/1956---190-SANTIPUR%20A.C(NADIA)-(1072).pdf
1956,NADIA,TEHATTA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/NADIA/TEHATTA/1956---TEHATTA%20A.C(NADIA)-(805).pdf
1956,PURULIA,ARSHA BENGALI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/ARSHA%20BENGALI/1956---ARSHA%20(BENGALI)%20A.C(PURULIA)-(837).pdf
1956,PURULIA,ARSHA HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/ARSHA%20HINDI/1956---ARSHA%20(HINDI)%20A.C(PURULIA)-(845).pdf
1956,PURULIA,BALARAMPUR BENGALI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/BALARAMPUR%20BENGALI/1956---BALARAMPUR%20(BENGALI)%20A.C(PURULIA)-(744).pdf
1956,PURULIA,BALARAMPUR HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/BALARAMPUR%20HINDI/1956---BALARAMPUR%20(HINDI)%20A.C(PURULIA)-(749).pdf
1956,PURULIA,MANBAZAR BENGALI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/MANBAZAR%20BENGALI/1956---MANBAZAR%20(BENGALI)%20A.C(PURULIA)-(1565)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/MANBAZAR%20BENGALI/1956---MANBAZAR%20(BENGALI)%20A.C(PURULIA)-(1565)-PART-2.pdf"
1956,PURULIA,MANBAZAR HINDI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/MANBAZAR%20HINDI/1956---MANBAZAR%20(HINDI)%20A.C(PURULIA)-%20(%201565)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/MANBAZAR%20HINDI/1956---MANBAZAR%20(HINDI)%20A.C(PURULIA)-%20(%201565)-PART-2.pdf"
1956,PURULIA,PURULIA BENGALI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/PURULIA%20BENGALI/1956---PURULIA%20(BENGALI)%20A.C%20(PURULIA)-(1733)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/PURULIA%20BENGALI/1956---PURULIA%20(BENGALI)%20A.C%20(PURULIA)-(1733)-PART-2.pdf"
1956,PURULIA,PURULIA HINDI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/PURULIA%20HINDI/1956---PURULIA(HINDI)A.C(PURULIA)-(1733)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/PURULIA%20HINDI/1956---PURULIA(HINDI)A.C(PURULIA)-(1733)-PART-2.pdf"
1956,PURULIA,RAGHUNATHPUR BENGALI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/RAGHUNATHPUR%20BENGALI/1956---RAGHUNATHPUR%20(BENGALI)%20A.C(PURULIA)-(%201748)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/RAGHUNATHPUR%20BENGALI/1956---RAGHUNATHPUR%20(BENGALI)%20A.C(PURULIA)-(%201748)-PART-2.pdf"
1956,PURULIA,RAGHUNATHPUR HINDI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/RAGHUNATHPUR%20HINDI/1956---RAGHUNATHPUR%20%20(HINDI)%20A.C(PURULIA)-(1766)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/PURULIA/RAGHUNATHPUR%20HINDI/1956---RAGHUNATHPUR%20%20(HINDI)%20A.C(PURULIA)-(1766)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,BADURIA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BADURIA/1956---BADURIA%20A.C(24-PARGANAS)-(910).pdf
1956,TWENTY FOUR PARGANAS,BARAHANAGER,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BARAHANAGER/1956--179-BARAHANAGER%20(24%20PGS)-(1094).pdf
1956,TWENTY FOUR PARGANAS,BARASAT,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BARASAT/1956--177-BARASAT%20(24%20PGS)-(978).pdf
1956,TWENTY FOUR PARGANAS,BARUIPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BARUIPUR/1956---BARUIPUR%20A.C(24-PARGANAS)-(1113).pdf
1956,TWENTY FOUR PARGANAS,BASIRHAT,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BASIRHAT/1956---BASIRHAT%20A.C(24-PARGANAS)-(901).pdf
1956,TWENTY FOUR PARGANAS,BEHALA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BEHALA/1956--155-BEHALA%20%20A.C%20(24%20PGS)-(803).pdf
1956,TWENTY FOUR PARGANAS,BHANGORE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BHANGORE/1956---BHANGORE%20A.C%20(24-%20PARGANAS)-(1202).pdf
1956,TWENTY FOUR PARGANAS,BHATPARA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BHATPARA/1956---BHATPARA%20%20A.C%20(24-PARGANAS)-(752).pdf
1956,TWENTY FOUR PARGANAS,BISHNUPORE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BISHNUPORE/1956---BISHNUPORE%20A.C(24-PARGANAS)-(1855)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BISHNUPORE/1956---BISHNUPORE%20A.C(24-PARGANAS)-(1855)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,BIZPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BIZPUR/1956---185-BIZPUR%20%20A.C(24-PARGANAS)-(799).pdf
1956,TWENTY FOUR PARGANAS,BONGAON,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BONGAON/1956--186-BONGAON%20(24%20PGS)-(%20%202285%20)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BONGAON/1956--186-BONGAON%20(24%20PGS)-(%20%202285%20)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,BUDGE BUDGE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/BUDGE%20%20BUDGE/1956---BUDGE%20%20BUDGE%20A.C(24-PARGANAS)-(859).pdf
1956,TWENTY FOUR PARGANAS,CANNING,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/CANNING/1956---CANNING%20%20A.C(24-PARGANAS)-(1863)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/CANNING/1956---CANNING%20%20A.C(24-PARGANAS)-(1863)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,DEGANGA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/DEGANGA/1956---DEGANGA%20A.C(24-PARGANAS)-(1598)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/DEGANGA/1956---DEGANGA%20A.C(24-PARGANAS)-(1598)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,DIAMOND HARBOUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/DIAMOND%20HARBOUR/1956--DIAMOND%20HARBOUR%20(24%20PGS)-(934).pdf
1956,TWENTY FOUR PARGANAS,DUM DUM,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/DUM%20DUM/1956--DUM%20DUM%20(24%20PGS)-(956).pdf
1956,TWENTY FOUR PARGANAS,FALTA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/FALTA/1956---FALTA%20A.C(24-PARGANAS)-(898).pdf
1956,TWENTY FOUR PARGANAS,GARDENREACH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/GARDENREACH/1956--GARDENREACH%20%20A.C%20(24%20PGS)-(763).pdf
1956,TWENTY FOUR PARGANAS,HABRA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/HABRA/1956---HABRA%20A.C(24%20PARGANAS)-(1195).pdf
1956,TWENTY FOUR PARGANAS,HAROA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/HAROA/1956---HAROA%20A.C(24-PARGANAS)-(844).pdf
1956,TWENTY FOUR PARGANAS,HASNABAD,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/HASNABAD/1956---HASNABAD%20A.C(24-PARGANAS)-(1509)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/HASNABAD/1956---HASNABAD%20A.C(24-PARGANAS)-(1509)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,JOYNAGAR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/JOYNAGAR/1956---JOYNAGAR%20A.C(24-PARGANAS)-(%201591)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/JOYNAGAR/1956---JOYNAGAR%20A.C(24-PARGANAS)-(%201591)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,KAKDWIP,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/KAKDWIP/1956--KAKDWIP%20(24%20PGS)-(956).pdf
1956,TWENTY FOUR PARGANAS,KHARDAH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/KHARDAH/1956--180-KHARDAH%20A.C%20(24%20PGS)-(845).pdf
1956,TWENTY FOUR PARGANAS,MAGRAHAT,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/MAGRAHAT/1956---%20MAGRAHAT%20A.C(24%20PARGANAS)-(%201656)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/MAGRAHAT/1956---%20MAGRAHAT%20A.C(24%20PARGANAS)-(%201656)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,MAHESTALA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/MAHESTALA/1956--156-MAHESTALA%20%20A.C%20(24%20PGS)%20-(728).pdf
1956,TWENTY FOUR PARGANAS,MATHURAPUR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/MATHURAPUR/1956---MATHURAPUR%20A.C(24-PARGANAS)-(%201670)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/MATHURAPUR/1956---MATHURAPUR%20A.C(24-PARGANAS)-(%201670)-PART-2.pdf"
1956,TWENTY FOUR PARGANAS,NAIHATI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/NAIHATI/1956---%20NAIHATI%20A.C(24-PARGANAS)-(834).pdf
1956,TWENTY FOUR PARGANAS,NOAPARA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/NOAPARA/1956--182-NOAPARA%20A.C%20(24%20PGS)-(743).pdf
1956,TWENTY FOUR PARGANAS,SANDESHKHALI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/SANDESHKHALI/1956---SANDESHKHALI%20A.C(24-PARGANAS)-(724).pdf
1956,TWENTY FOUR PARGANAS,SWARUPNAGAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/SWARUPNAGAR/1956---SWARUPNAGAR%20A.C(24-PARGANAS)-(566).pdf
1956,TWENTY FOUR PARGANAS,TITAGARH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/24-PARGANAS/TITAGARH/1956--181-TITAGARH%20%20A.C%20(24%20PGS)-(748).pdf
1956,WEST DINAJPUR,BALURGHAT,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/BALURGHAT/1956---BALURGHAT-1%20A.C%20(WEST%20DINASPUR)-(2029)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/BALURGHAT/1956---BALURGHAT-1%20A.C%20(WEST%20DINASPUR)-(2029)-PART-2.pdf"
1956,WEST DINAJPUR,CHOPRA HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/CHOPRA%20HINDI/1956---CHOPRA%20(HINDI-1%20)%20A.C(WEST%20DINAJPUR)-(824).pdf
1956,WEST DINAJPUR,GANGARAMPUR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/GANGARAMPUR/1956---GANGARAMPUR%20%20A.C(WEST%20DINAJPUR)-(2089)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/GANGARAMPUR/1956---GANGARAMPUR%20%20A.C(WEST%20DINAJPUR)-(2089)-PART-2.pdf"
1956,WEST DINAJPUR,GOALPOKHAR HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/GOALPOKHAR%20HINDI/1956---GOALPOKHAR%20(HINDI)%20A.C(WEST%20DINAJPUR)-(793).pdf
1956,WEST DINAJPUR,ITAHAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/ITAHAR/1956---ITAHAR%20A.C(WEST%20DINAJPUR)-(980).pdf
1956,WEST DINAJPUR,KARANDIGHI HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/KARANDIGHI%20HINDI/1956---KARANDIGHI%20(HINDI)%20A.C(WEST%20DINAJPUR)-(1094).pdf
1956,WEST DINAJPUR,RAIGANJ,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/RAIGANJ/1956---RAIGANJ%20%20A.C(WEST%20DINAJPUR)-(%201798)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1956/WEST%20DINAJPUR/RAIGANJ/1956---RAIGANJ%20%20A.C(WEST%20DINAJPUR)-(%201798)-PART-2.pdf"
1958,MIDNAPORE,JHARGRAM,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/MIDNAPORE/JHARGRAM/1958--JHARGRAM-(%202692)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/MIDNAPORE/JHARGRAM/1958--JHARGRAM-(%202692)-PART-2.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/MIDNAPORE/JHARGRAM/1958--JHARGRAM-(%202692)-PART-3.pdf"
1958,PURULIA,ARSHA BENGALI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/PURULIA/ARSHA%20BENGALI/1958---ARSHA%20(BENGALI)%20A.C(PURULIA)-(900).pdf
1958,PURULIA,PURULIA AC MANBHUM,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/PURULIA/PURULIA%20AC%20MANBHUM/1958---PURULIA%20A.C(MANBHUM)-(1810)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/PURULIA/PURULIA%20AC%20MANBHUM/1958---PURULIA%20A.C(MANBHUM)-(1810)-PART-2.pdf"
1958,PURULIA,PURULIA HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/PURULIA/PURULIA%20HINDI/1958---PURULIA%20(HINDI)%20A.C(PURULIA)-(247).pdf
1958,PURULIA,RAGHUNATHPUR BENGALI ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/PURULIA/RAGHUNATHPUR%20BENGALI%20ONE/1958---RAGHUNATHPUR(BENGALI-1)%20A.C(PURULIA)-(1012).pdf
1958,PURULIA,RAGHUNATHPUR BENGALI TWO,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/PURULIA/RAGHUNATHPUR%20BENGALI%20TWO/1958---RAGHUNATHPUR(BENGALI-2)%20A.C(PURULIA)-(1416)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/PURULIA/RAGHUNATHPUR%20BENGALI%20TWO/1958---RAGHUNATHPUR(BENGALI-2)%20A.C(PURULIA)-(1416)-PART-2.pdf"
1958,PURULIA,RAGHUNATHPUR HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/PURULIA/RAGHUNATHPUR%20HINDI/1958---RAGHUNATHPUR%20%20(HINDI)%20A.C(PURULIA)-(96).pdf
1958,WEST DINAJPUR,BALURGHAT,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/BALURGHAT/1958---BALURGHAT%20A.C(WEST%20DINAJPUR)-(1524)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/BALURGHAT/1958---BALURGHAT%20A.C(WEST%20DINAJPUR)-(1524)-PART-2.pdf"
1958,WEST DINAJPUR,CHOPRA BENGALI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/CHOPRA%20BENGALI/1958---CHOPRA%20(BENGALI)%20A.C(WEST%20DINAJPUR)-(799).pdf
1958,WEST DINAJPUR,CHOPRA HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/CHOPRA%20HINDI/1958---CHOPRA%20%20(HINDI)%20A.C(WEST%20DINAJPUR)-(786).pdf
1958,WEST DINAJPUR,GOALPOKHAR BENGALI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/GOALPOKHAR%20BENGALI/1958---GOALPOKHAR%20(BENGALI)%20A.C%20(WEST%20DINAJPUR)-(692).pdf
1958,WEST DINAJPUR,GOWAL POKHAR HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/GOWAL%20POKHAR%20HINDI/1958---GOWAL%20POKHAR%20(HINDI)%20A.C%20WEST%20DINAJPUR-(685).pdf
1958,WEST DINAJPUR,ITAHAR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/ITAHAR/1958---ITAHAR%20A.C(WEST%20DINAJPUR)-(1191)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/ITAHAR/1958---ITAHAR%20A.C(WEST%20DINAJPUR)-(1191)-PART-2.pdf"
1958,WEST DINAJPUR,KARANDIGHI BENGALI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/KARANDIGHI%20BENGALI/1958---KARANDIGHI%20(BENGALI)%20A.C(WEST%20DINAJPUR)-(921).pdf
1958,WEST DINAJPUR,KARANDIGHI HINDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/KARANDIGHI%20HINDI/1958---KARANDIGHI%20(HINDI)%20A.C(WEST%20DINAJPUR)-(925).pdf
1958,WEST DINAJPUR,RAIGANJ,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/RAIGANJ/1958---RAIGANJ%20A.C(WEST%20DINAJPUR)-(1582)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1958/WEST%20DINAJPUR/RAIGANJ/1958---RAIGANJ%20A.C(WEST%20DINAJPUR)-(1582)-PART-2.pdf"
1959,DARJEELING,SILIGURI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1959/DARJEELING/SILIGURI/1959---SILIGURI%20A.C(DARJEEILING)-(1050).pdf
1961,BANKURA,BANKURA AC ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/BANKURA%20AC%20ONE/1961---219-%20BANKURA%20A.C%20(1)%20(BANKURA)-(1239).pdf
1961,BANKURA,BANKURA AC TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/BANKURA%20AC%20TWO/1961---219-BANKURA%20A.C-2(BANKURA)-(1224).pdf
1961,BANKURA,BARJORA AC ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/BARJORA%20AC%20ONE/1961---217-BARJORA%20%20A.C%20(1)%20(BANKURA)-(1309).pdf
1961,BANKURA,BARJORA AC TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/BARJORA%20AC%20TWO/1961---217-BARJORA%20A.C-2%20(BANKURA)-(1307).pdf
1961,BANKURA,BISHNUPUR AC ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/BISHNUPUR%20AC%20ONE/1961---214-VISHNUPUR%20A.C-1%20(BANKURA)-(1384).pdf
1961,BANKURA,BISHNUPUR AC TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/BISHNUPUR%20AC%20TWO/1961---214-VISHNUPUR%20A.C(2)%20(BANKURA)-(1002).pdf
1961,BANKURA,CHHATNA AC ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/CHHATNA%20AC%20ONE/1961---220-CHHATNA%20%20%20A.C%20[1]%20(BANKURA)-(1210).pdf
1961,BANKURA,CHHATNA AC TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/CHHATNA%20AC%20TWO/1961---220-CHHATNA%20A.C-2(BANKURA)-(1176).pdf
1961,BANKURA,GANGAJALGHATI AC ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/GANGAJALGHATI%20AC%20ONE/1961---218-GANGAJALGHATI%20%20A.C%20-1%20(%20BANKURA)-(1136).pdf
1961,BANKURA,GANGAJALGHATI AC TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/GANGAJALGHATI%20AC%20TWO/1961---218-GANGAJALGHATI%20A.C-2%20(BANKURA)-(1125).pdf
1961,BANKURA,INDPUR AC ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/INDPUR%20AC%20ONE/1961---209-INDPUR%20A.C%20-%20(1)%20(BANKURA)-(1167).pdf
1961,BANKURA,INDPUR AC TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/INDPUR%20AC%20TWO/1961---209-INDPUR.%20A.C%20[2]%20(BANKURA)-(1164).pdf
1961,BANKURA,KATULPUR AC TWO,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/KATULPUR%20AC%20TWO/1961---215-KATULPUR%20A.C-2%20(BANKURA)-(1506)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/KATULPUR%20AC%20TWO/1961---215-KATULPUR%20A.C-2%20(BANKURA)-(1506)-PART-2.pdf"
1961,BANKURA,KOTULPUR AC ONE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/KOTULPUR%20AC%20ONE/1961---215-KOTULPUR%20A.C%20(1)%20(BANKURA)-(1413)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/KOTULPUR%20AC%20ONE/1961---215-KOTULPUR%20A.C%20(1)%20(BANKURA)-(1413)-PART-2.pdf"
1961,BANKURA,ONDA AC ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/ONDA%20AC%20ONE/1961---213-ONDA%20%20A.C-1%20(BANKURA)-(1372).pdf
1961,BANKURA,ONDA AC TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/ONDA%20AC%20TWO/1961---213-ONDA%20%20A.C(2)%20(BANKURA)-(1364).pdf
1961,BANKURA,PATRASAYER AC ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1961/BANKURA/PATRASAYER%20AC%20ONE/1961---216-PATRASAYER%20A.C%20(1)%20(BANKURA)-(1293).pdf
