year,district,constituency,link,new_links
1952,BIRBHUM,RAMPURHAT THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/RAMPURHAT%20THANA/1952---RAMPURHAT%20THANA-(1239).pdf,https://drive.google.com/file/d/10cyXpascF1i44tYEMfh-tLRiG2t5j2WH/view?usp=sharing
1952,BIRBHUM,SAITHIA THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SAITHIA%20THANA/1952---SAITHIA%20THANA%20PT-9-(907).pdf,https://drive.google.com/file/d/1tKYdEiunxFNBqf0scE83ZrDZ40gAdOKC/view?usp=sharing
1952,BIRBHUM,SURI THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA/1952---SURI%20THANA-1100-(1025).pdf,https://drive.google.com/file/d/1Pj_NHTP90Xgwgpjyjnpz8NDEerEM6ana/view?usp=sharing
1952,BIRBHUM,SURI THANA PT FOUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA%20PT%20FOUR/1952---SURI%20THANA%20PT-4-(12).pdf,https://drive.google.com/file/d/1JPC6LbjrsKcfB2DIU7BjnUd4-E2wDVZp/view?usp=sharing
1952,BIRBHUM,SURI THANA PT ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA%20PT%20ONE/1952---SURI%20THANA%20PT-1%20-(787).pdf,https://drive.google.com/file/d/1nDiLT-CbwNe3dYXAiONAg1nXFiNTgtz6/view?usp=sharing
1952,BIRBHUM,SURI THANA PT THREE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA%20PT%20THREE/1952---SURI%20THANA%20PT-3%20-(599).pdf,https://drive.google.com/file/d/1NuyOvce9tlM1n8Urb66fgqKmh4Sgk1gq/view?usp=sharing
1952,BIRBHUM,SURI THANA PT TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA%20PT%20TWO/1952---SURI%20THANA%20PT-2%20-(887).pdf,https://drive.google.com/file/d/1cwpw3Z6DQLkPV56saF2wCn7YEmvVrBDA/view?usp=sharing
1952,BURDWAN,AUSGRAM,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/AUSGRAM/1952---AUSGRAM-(2122)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/AUSGRAM/1952---AUSGRAM-(2122)-PART-2.pdf","https://drive.google.com/file/d/1GF2g-djVrAn0hVtKF6W8rI6XpEKLFTqG/view?usp=sharing, https://drive.google.com/file/d/1MCPLwdwlpy23hree-S1x9Rt_2F_lAhps/view?usp=sharing"
1952,BURDWAN,BURDWAN PARLIAMENTARY CONSTITUENCY,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/BURDWAN%20PARLIAMENTARY%20CONSTITUENCY/1952---BURDWAN%20PARLIAMENTARY%20CONSTITUENCY-(2961)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/BURDWAN%20PARLIAMENTARY%20CONSTITUENCY/1952---BURDWAN%20PARLIAMENTARY%20CONSTITUENCY-(2961)-PART-2.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/BURDWAN%20PARLIAMENTARY%20CONSTITUENCY/1952---BURDWAN%20PARLIAMENTARY%20CONSTITUENCY-(2961)-PART-3.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/BURDWAN%20PARLIAMENTARY%20CONSTITUENCY/1952---BURDWAN%20PARLIAMENTARY%20CONSTITUENCY-(2961)-PART-4.pdf","https://drive.google.com/file/d/1jAcU_30RojAC2P0bWvHhM4lRunteFATu/view?usp=sharing, https://drive.google.com/file/d/1B5Mznw1yBNAnWzKx2mMY4PJ96cyvwOkI/view?usp=sharing, https://drive.google.com/file/d/1aI_kilGNGv0c9c-7cSFbHSE4EfcxqIp8/view?usp=sharing, https://drive.google.com/file/d/1LgdQOTdoj3zs1KOFJ-sKtNRdKx2Da9lC/view?usp=sharing"
1952,BURDWAN,GALSI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/GALSI/1952---BURDWAN-galsi-(870)-Part-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/GALSI/1952---BURDWAN-galsi-(870)-Part-2.pdf","https://drive.google.com/file/d/1DfoYZQt0ZQIZ0CtuqnRe-2b7ooKEDaOl/view?usp=sharing, https://drive.google.com/file/d/1VwM_BOAc5Vlpu-NvxO0KERSkk2L4y6YX/view?usp=sharing"
1952,BURDWAN,KALNA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/KALNA/1952---KALNA-(2355)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/KALNA/1952---KALNA-(2355)-PART-2.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/KALNA/1952---KALNA-(2355)-PART-3.pdf","https://drive.google.com/file/d/1ahUq9tINi5c3e8kALHghnKGDvDCZkyVR/view?usp=sharing, https://drive.google.com/file/d/1e6Ma6M8cCMFC7Yi9FoHWayTugmOYi2vb/view?usp=sharing, https://drive.google.com/file/d/1E_S2oKE-QETNCLFakaiGEsgTVn9nvash/view?usp=sharing"
1952,BURDWAN,KHANDAGHOSH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/KHANDAGHOSH/1952---KHANDAGHOSH-(1014).pdf,https://drive.google.com/file/d/1167MCgChV9idgzl_-dANVUSxFgCNV6rw/view?usp=sharing
1952,BURDWAN,KULTI ONE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/KULTI%20ONE/1952---KULTI%20-1-(1456)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/KULTI%20ONE/1952---KULTI%20-1-(1456)-PART-2.pdf","https://drive.google.com/file/d/10F4PCwWykWO0tlB7DijrfxrH4LTJ3kmA/view?usp=sharing, https://drive.google.com/file/d/1o3-Xh0wCASf2typZhd0XlKNJHehesz4D/view?usp=sharing"
1952,BURDWAN,KULTI TWO,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/KULTI%20TWO/1952---KULTI%202-(2195)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/KULTI%20TWO/1952---KULTI%202-(2195)-PART-2.pdf","https://drive.google.com/file/d/117sJJooVNbrcMCDVufNhi6nUFU5CdeDa/view?usp=sharing, https://drive.google.com/file/d/1Nxsd5OnN44YIGVoGrnNYHfCpPMnnCztk/view?usp=sharing"
1952,BURDWAN,RAINA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/RAINA/1952---RAINA-(1944)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/RAINA/1952---RAINA-(1944)-PART-2.pdf","https://drive.google.com/file/d/1oyJI-NgFHuoQxtP2GIwYMw9zUaJXNIKB/view?usp=sharing, https://drive.google.com/file/d/1nHVq5NDh2sTs_5gxBC-Gjn6mkZOkl44G/view?usp=sharing"
1952,BURDWAN,RANIGANJ,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/RANIGANJ/1952---RANIGANJ-(1480)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BURDWAN/RANIGANJ/1952---RANIGANJ-(1480)-PART-2.pdf","https://drive.google.com/file/d/1u_hpLhrpVnmZiCfGiF4Mc8oqpBimLAD1/view?usp=sharing, https://drive.google.com/file/d/1wpNxDT3_Fht4ZLnhZGa9izo5rdzN0X0K/view?usp=sharing"
1952,CALCUTTA,ALIPORE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/ALIPORE/1952--186-ALIPORE-(1088)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/ALIPORE/1952--186-ALIPORE-(1088)-PART-2.pdf","https://drive.google.com/file/d/1E_16OjYwnzVz1UQ1zZGoCpFbE7pgqXKV/view?usp=sharing, https://drive.google.com/file/d/1dPCIz3KXclThNwhT2b8PPlhK0HE0PfsL/view?usp=sharing"
1952,CALCUTTA,BARABAZAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BARABAZAR/1952--173-BARABAZAR%20A.C%20--(1153).pdf,https://drive.google.com/file/d/10yp5I_K_h7QIy_JWOesLgAqumscIDeOq/view?usp=sharing
1952,CALCUTTA,BELEGHATA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BELEGHATA/1952--172-BELEGHATA.C-(881).pdf,https://drive.google.com/file/d/1bJb46zb5JiOgKmUhuZ1M-SIUWm7XdisH/view?usp=sharing
1952,CALCUTTA,BELGACHIA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BELGACHIA/1952--170-BELGACHIA-%20(926).pdf,https://drive.google.com/file/d/17fUKgUQpU7zkXLK02J_15xcAmuHMTT-0/view?usp=sharing
1952,CALCUTTA,BENIAPUKUR BALLYGUNGE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BENIAPUKUR%20BALLYGUNGE/1952--178-BENIAPUKUR%20BALLYGUNGE%20A.C-(2054)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BENIAPUKUR%20BALLYGUNGE/1952--178-BENIAPUKUR%20BALLYGUNGE%20A.C-(2054)-PART-2.pdf","https://drive.google.com/file/d/1JZaU1r1ilPj_Vd7kiVDeo1O03w8SOSso/view?usp=sharing, https://drive.google.com/file/d/1WDfz73d52sl4bvviObNTwe-aPxIXXe3b/view?usp=sharing"
1952,CALCUTTA,BHOWANIPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BHOWANIPUR/1952--179-BHOWANIPUR%20A.C-(900).pdf,https://drive.google.com/file/d/188sD7m7WPEeh6OCI0dxtH6nnx-8gZcyJ/view?usp=sharing
1952,CALCUTTA,BOWBAZAR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BOWBAZAR/1952--186-BOWBAZAR%20A.C-(1768)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BOWBAZAR/1952--186-BOWBAZAR%20A.C-(1768)-PART-2.pdf","https://drive.google.com/file/d/1nh2g1dZoteo1_0t_2R7k3pZi6-pJSZBV/view?usp=sharing, https://drive.google.com/file/d/1r10_71FhfnEYYaIrTErDgtmZp96Z-aYV/view?usp=sharing"
1952,CALCUTTA,BURTOLA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/BURTOLA/1952--BURTOLA-(1013).pdf,https://drive.google.com/file/d/15MO3TaJAW-xqI59cxQqLA-ZjTy1A1XoK/view?usp=sharing
1952,CALCUTTA,COSSIPORE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/COSSIPORE/1952--COSSIPORE%20A.C-(1108).pdf,https://drive.google.com/file/d/1bOFBd7aNU6e_eZ__CsMpYVNk52arYTEK/view?usp=sharing
1952,CALCUTTA,ENTALLY,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/ENTALLY/1952--187-ENTALLY-(998).pdf,https://drive.google.com/file/d/1_9QfA3O38jKYPKtu0rxoorba9KgQQd8U/view?usp=sharing
1952,CALCUTTA,FORT,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/FORT/1952--185-FORT/PORT%20AREA-(1111).pdf,https://drive.google.com/file/d/1X5DjvE9vcZ_YFlbLNPb8A-RPrZFPQ8Ju/view?usp=sharing
1952,CALCUTTA,JORABAGAN,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/JORABAGAN/1952--168-JORABAGAN-(577).pdf,https://drive.google.com/file/d/16nvFXOuAuD6gAuMjjcYeZK3dsTQcAIRv/view?usp=sharing
